il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Adana,İncirlik Park Restaurant,restaurant,,,,,,,,,,,37.0225662,35.4750607,"https://www.google.com/maps/search/?api=1&query=37.0225662,35.4750607",node/4348797490
Adana,İpekyolu Tesisleri Kebap,restaurant,turkish;kebab,,,,,,,,,,37.0307895,35.2065060,"https://www.google.com/maps/search/?api=1&query=37.0307895,35.2065060",way/1221727025
Adana,İpekyolu Tesisleri Kebap,restaurant,turkish;kebab,,,,,,,,,,37.0288814,35.2021709,"https://www.google.com/maps/search/?api=1&query=37.0288814,35.2021709",way/1221727041
Adana,İstanbul Balıkçısı,restaurant,fish,+90 322 453 16 17,https://www.instagram.com/balkcibo/,,,,,63005. Sokak 4,Seyhan,Cemalpaşa,37.0006141,35.3253003,"https://www.google.com/maps/search/?api=1&query=37.0006141,35.3253003",node/12453001569
Adana,İştah Kebap,restaurant,,,,,,,,,,,36.9849607,35.3265881,"https://www.google.com/maps/search/?api=1&query=36.9849607,35.3265881",node/10310258409
Adana,kaburgaci yasar usta,restaurant,,,,,,,,,,,36.9950554,35.3455663,"https://www.google.com/maps/search/?api=1&query=36.9950554,35.3455663",node/4984774421
Adana,Kafeterya,cafe,,,,,,yes,,,,,37.0393762,35.3838431,"https://www.google.com/maps/search/?api=1&query=37.0393762,35.3838431",node/9565673051
Adana,Kahvaltı Dünyası,restaurant,,,,,,,,,,,36.9991205,35.3236600,"https://www.google.com/maps/search/?api=1&query=36.9991205,35.3236600",node/4567441624
Adana,Kahve Dünyası,cafe,coffee_shop,+903224604224,https://www.kahvedunyasi.com/,,Mo-Su 07:00-00:30,yes,,Turgut Özal Bulvarı 102,Çukurova,Güzelyalı Mahallesi,37.0485224,35.2983092,"https://www.google.com/maps/search/?api=1&query=37.0485224,35.2983092",node/1900014931
Adana,Kahve Dünyası,cafe,coffee_shop,,,,,yes,wlan,,,,36.9980654,35.3212030,"https://www.google.com/maps/search/?api=1&query=36.9980654,35.3212030",node/8295856117
Adana,Kahve Dünyası,cafe,coffee_shop,,,,,,,Hacı Sabancı bulvarı,Yüreğir,Sinanpaşa,36.9914968,35.3395600,"https://www.google.com/maps/search/?api=1&query=36.9914968,35.3395600",node/13393834592
Adana,Kalkan Lahmacun,restaurant,,,,,,,,,,,36.9626893,35.3164680,"https://www.google.com/maps/search/?api=1&query=36.9626893,35.3164680",node/7903206271
Adana,Karadeniz Kafe,restaurant,,,,,,,,,,,37.0606632,35.3520593,"https://www.google.com/maps/search/?api=1&query=37.0606632,35.3520593",node/675370717
Adana,Kardeşler,cafe,,,,,,,,,,,37.0505051,35.2618036,"https://www.google.com/maps/search/?api=1&query=37.0505051,35.2618036",node/6858596217
Adana,Kardeşler Simit,cafe,,,,,,,,,,,37.0295876,35.3142977,"https://www.google.com/maps/search/?api=1&query=37.0295876,35.3142977",node/7418533992
Adana,Katmerci Dayı,restaurant,turkish,+90 552 800 50 01,,,Mo-Su 10:00-02:00,,,Adnan Kahveci Bulvarı,,,37.0319795,35.3130036,"https://www.google.com/maps/search/?api=1&query=37.0319795,35.3130036",node/12340820901
Adana,Katık döner,cafe,,,,,,,,,,,37.0488435,35.2826977,"https://www.google.com/maps/search/?api=1&query=37.0488435,35.2826977",node/7417421785
Adana,Kaya Kebap,restaurant,kebab,,,,,yes,,,,,36.9896234,35.3198416,"https://www.google.com/maps/search/?api=1&query=36.9896234,35.3198416",node/11289231911
Adana,Kayıkhane,restaurant,,,,,,,,,,,37.0473268,35.3435002,"https://www.google.com/maps/search/?api=1&query=37.0473268,35.3435002",node/5254278524
Adana,Kazım Büfe,fast_food,toast,,,,24/7,,,,,,37.0016329,35.3270555,"https://www.google.com/maps/search/?api=1&query=37.0016329,35.3270555",node/6472784785
Adana,Kebapci Mallun,restaurant,turkish,,,,,,,,,,36.9884585,35.3256502,"https://www.google.com/maps/search/?api=1&query=36.9884585,35.3256502",node/6563312186
Adana,Kebapçi Aziz,cafe,kebab;turkish,,,,,yes,,,,,36.9860655,35.3312270,"https://www.google.com/maps/search/?api=1&query=36.9860655,35.3312270",node/12802711501
Adana,Kebapçı Eyüp Usta,restaurant,,,,,,,,Cumhuriyet Caddesi,,,36.9948477,35.3147845,"https://www.google.com/maps/search/?api=1&query=36.9948477,35.3147845",node/3726108337
Adana,Kebapçı Mehmet Usta,restaurant,,+90 322 327 20 10,,,Mo-Su 09:00-00:00,,,,,,37.0114356,35.3784039,"https://www.google.com/maps/search/?api=1&query=37.0114356,35.3784039",node/7907455789
Adana,Kebapçı Oğuz,restaurant,,,,,,,,,,,37.0345554,35.3075262,"https://www.google.com/maps/search/?api=1&query=37.0345554,35.3075262",node/3727527087
Adana,Kebapçı Şeyhmus,restaurant,,,,,,,,,,,36.9897768,35.3267670,"https://www.google.com/maps/search/?api=1&query=36.9897768,35.3267670",node/4567528419
Adana,Kent Lokantası,restaurant,,,,,,,,,,,37.0407150,35.3043412,"https://www.google.com/maps/search/?api=1&query=37.0407150,35.3043412",node/14015725873
Adana,Keyf,restaurant,turkish;barbecue,,,,,yes,,,,,37.1042179,35.2991874,"https://www.google.com/maps/search/?api=1&query=37.1042179,35.2991874",node/11287178952
Adana,KFC,fast_food,burger,,,,Mo-Su 10:00-22:00,,,Bülent Angın Bulvarı 139/B,,,37.0316138,35.3133014,"https://www.google.com/maps/search/?api=1&query=37.0316138,35.3133014",node/12340803904
Adana,Kolcuoğlu Kebap,restaurant,turkish,,,,,,,,,,36.9972845,35.3246059,"https://www.google.com/maps/search/?api=1&query=36.9972845,35.3246059",node/4570893725
Adana,Komagene,fast_food,kebab,,,,,,,,,,37.0441338,35.3016597,"https://www.google.com/maps/search/?api=1&query=37.0441338,35.3016597",node/11146713245
Adana,Komshu Restoranı,cafe,,,,,,,,,,,36.9974023,35.3368340,"https://www.google.com/maps/search/?api=1&query=36.9974023,35.3368340",node/10226436417
Adana,Korku Evi,cafe,,,,,,,,,,,37.0523663,35.3058723,"https://www.google.com/maps/search/?api=1&query=37.0523663,35.3058723",node/6768625885
Adana,Köfte Hor,restaurant,,,,,,,,,,,37.0236707,35.2814427,"https://www.google.com/maps/search/?api=1&query=37.0236707,35.2814427",node/3727395777
Adana,Köse Lokantası,restaurant,kebab,,,,,,,,,,37.4369840,34.8754187,"https://www.google.com/maps/search/?api=1&query=37.4369840,34.8754187",way/678475075
Adana,Köylü Cafe,fast_food,,,,,,,,,,,36.9900103,35.3254429,"https://www.google.com/maps/search/?api=1&query=36.9900103,35.3254429",node/6815015544
Adana,Köylüm Döner,restaurant,kebab;regional,+905453428610,,,,,,565 Sokak 68,Yüreğir,Güneşli Mahallesi,36.9760791,35.3448978,"https://www.google.com/maps/search/?api=1&query=36.9760791,35.3448978",node/8064947183
Adana,Közz Cafe,cafe,,,,,,,,,,,37.0283832,35.3138578,"https://www.google.com/maps/search/?api=1&query=37.0283832,35.3138578",node/7418471301
Adana,Köşem Döner,fast_food,,,,,,,,,,,37.0285737,35.3132275,"https://www.google.com/maps/search/?api=1&query=37.0285737,35.3132275",node/7418521035
